"ID","adj.P.Val","P.Value","t","B","logFC","GenBank.Accession","Platform_SPOTID","Gene.symbol","Gene.title"
"226498_at",1.61205898188303e-10,5.13028372835202e-13,8.59091614925702,19.3011579808712,2.08446208363388,"AA149648","","FLT1","fms related tyrosine kinase 1"
"236009_at",1.63761864997582e-10,5.24157775483802e-13,-8.58620181051334,19.2803273195851,-1.26267046841764,"AI767250","","PERP","PERP, TP53 apoptosis effector"
"200030_s_at",1.64747284779302e-10,5.30325050226927e-13,-8.58363229209043,19.2689738014993,-0.41726022913349,"NM_002635","","SLC25A3","solute carrier family 25 member 3"
"228189_at",1.7553624578976e-10,5.68265487056013e-13,8.56845331789109,19.2019063091477,0.848065995322409,"","","BAG4","BCL2 associated athanogene 4"
"220985_s_at",1.76463573084339e-10,5.7604282313973e-13,-8.56546718932963,19.1887125527323,-0.871801969935987,"NM_030954","","RNF170","ring finger protein 170"
"228010_at",1.76463573084339e-10,5.77722534651973e-13,-8.56482755210341,19.1858864256526,-1.35289503097268,"","","PPP2R2C","protein phosphatase 2 regulatory subunit Bgamma"
"1560689_s_at",1.82027128505631e-10,5.99266266685206e-13,8.55678453940441,19.1503501589872,0.993903581250585,"","","AKT2","AKT serine/threonine kinase 2"
"230076_at",1.86067110972103e-10,6.15969768375869e-13,-8.55074498550829,19.1236662331859,-1.33221886493599,"BF063164","","PITPNM3","PITPNM family member 3"
"210764_s_at",1.88140294462845e-10,6.26274048326252e-13,8.54710031952265,19.1075636041712,2.7545180453708,"AF003114","","CYR61","cysteine rich angiogenic inducer 61"
"207988_s_at",1.97993782836474e-10,6.62695240220847e-13,-8.53468165086716,19.0526975056357,-0.660305984480869,"NM_005731","","ARPC2","actin related protein 2/3 complex subunit 2"
"214224_s_at",2.00294169143694e-10,6.74058109235295e-13,-8.53094651630057,19.0361959503044,-0.754094822343477,"","","PIN4","peptidylprolyl cis/trans isomerase, NIMA-interacting 4"
"235203_at",2.06192492884435e-10,6.97679216892922e-13,-8.52337924279474,19.0027648641988,-1.03315147610929,"AA398756","","",""
"238651_at",2.1414148449302e-10,7.284922929255e-13,8.51388389897757,18.9608169918241,1.76587243698048,"BF512491","","",""
"203752_s_at",2.38444654484636e-10,8.19859586823007e-13,8.48792217986281,18.8461320227641,0.792842442071818,"NM_005354","","JUND","JunD proto-oncogene, AP-1 transcription factor subunit"
"209189_at",2.38444654484636e-10,8.23093599635195e-13,8.48705711928717,18.8423108321069,3.66132980408899,"BC004490","","FOS","Fos proto-oncogene, AP-1 transcription factor subunit"
"1563455_at",2.38444654484636e-10,8.24253126613556e-13,8.48674778624362,18.8409444330489,1.27599051290945,"AL832068","","SIK3","SIK family kinase 3"
"201955_at",2.63192309233862e-10,9.1461433478617e-13,-8.46388877581641,18.7399751306072,-0.61247864184465,"","","CCNC","cyclin C"
"215908_at",2.64964482081035e-10,9.25618949748104e-13,8.46126044277596,18.7283662494475,1.01650395879079,"AF009267","","",""
"1556821_x_at",2.74141298977787e-10,9.62690981321171e-13,-8.45263040702215,18.6902497994352,-1.35196318879391,"","","DLEU2","deleted in lymphocytic leukemia 2 (non-protein coding)"
