"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0046822","regulation of nucleocytoplasmic transport","6/154","121/18860",0.0495867768595041,6.07277020500161,5.07918339869665,0.000477440445680739,0.0281265471444364,0.0241903159144908,"KHDRBS1/NFKBIA/YWHAB/TXN/MAVS/SETD2",6
"BP","GO:0140895","cell surface toll-like receptor signaling pathway","5/154","80/18860",0.0625,7.65422077922078,5.41157437150946,0.00049955262423701,0.028789434931572,0.024760434418704,"TRAF3/TNFAIP3/TICAM1/NFKBIA/SQSTM1",5
"BP","GO:0048545","response to steroid hormone","10/154","343/18860",0.0291545189504373,3.57048199613797,4.35918739190765,0.000527321398236131,0.0291332580571916,0.0250561404641255,"JUN/DUSP1/ZFP36/STC1/USP8/CNOT1/ZFP36L1/SH3RF1/JUND/FOS",10
"BP","GO:0035966","response to topologically incorrect protein","7/154","172/18860",0.0406976744186047,4.98414376321353,4.76263212939881,0.000535935723152197,0.0291332580571916,0.0250561404641255,"ATF3/DDIT3/EIF2AK3/PPP1R15A/RARA/UBE2W/AKT2",7
"BP","GO:0046782","regulation of viral transcription","3/154","20/18860",0.15,18.3701298701299,7.05191127975808,0.000549617242337257,0.0291332580571916,0.0250561404641255,"TRIM13/ZFP36/RSF1",3
"BP","GO:0043330","response to exogenous dsRNA","4/154","47/18860",0.0851063829787234,10.4227687206411,5.86850742628775,0.000580312735041882,0.0291332580571916,0.0250561404641255,"TICAM1/NFKBIA/DDX1/MAVS",4
"BP","GO:0051101","regulation of DNA binding","4/154","47/18860",0.0851063829787234,10.4227687206411,5.86850742628775,0.000580312735041882,0.0291332580571916,0.0250561404641255,"JUN/HES1/RSF1/TXN",4
"BP","GO:0071364","cellular response to epidermal growth factor stimulus","4/154","47/18860",0.0851063829787234,10.4227687206411,5.86850742628775,0.000580312735041882,0.0291332580571916,0.0250561404641255,"ZFP36/ZFP36L1/BAG4/FOS",4
"BP","GO:0035914","skeletal muscle cell differentiation","5/154","83/18860",0.0602409638554217,7.37756219683931,5.28335595630423,0.000591633716812606,0.0291332580571916,0.0250561404641255,"NR4A1/ATF3/BTG2/EGR1/FOS",5
"BP","GO:0006913","nucleocytoplasmic transport","10/154","350/18860",0.0285714285714286,3.49907235621521,4.28192315487951,0.000616529117491588,0.0291332580571916,0.0250561404641255,"KHDRBS1/NR4A1/NFKBIA/STK3/CDKN1B/YWHAB/TXN/SQSTM1/MAVS/SETD2",10
